"","Source","Target","Match ID","Row number","Quarter","Match time (s)","club","PI"
"132",294674,290073,98150101,1187,3,315,"Richmond","kickEffective"
"133",290073,250395,98150101,1190,3,320,"Richmond","kickIneffective"
"134",250395,290032,98150101,1192,3,323,"Richmond","handballEffective"
"135",290032,260930,98150101,1194,3,325,"Richmond","handballEffective"
"136",260930,280747,98150101,1196,3,327,"Richmond","kickEffective"
"137",280747,992015,98150101,1199,3,332,"Richmond","kickEffective"
"138",260930,0,98150101,1206,3,390,"Richmond","kickEffective"
"139",290671,1000981,98150101,1215,3,421,"Richmond","kickEffective"
"140",290198,280819,98150101,1232,3,509,"Richmond","handballEffective"
"141",280819,261362,98150101,1234,3,511,"Richmond","handballEffective"
"142",261362,280819,98150101,1236,3,513,"Richmond","handballEffective"
"143",280819,270737,98150101,1238,3,515,"Richmond","handballEffective"
"144",270737,293713,98150101,1240,3,518,"Richmond","handballEffective"
"145",294674,991953,98150101,1251,3,536,"Richmond","handballEffective"
"146",991953,992015,98150101,1253,3,538,"Richmond","handballEffective"
"147",992015,270896,98150101,1256,3,541,"Richmond","handballIneffective"
"148",270896,991953,98150101,1259,3,549,"Richmond","handballEffective"
"149",991953,280747,98150101,1261,3,551,"Richmond","kickEffective"
"150",280819,290847,98150101,1278,3,603,"Richmond","kickEffective"
"151",290847,290671,98150101,1280,3,605,"Richmond","kickEffective"
"152",290671,290032,98150101,1282,3,614,"Richmond","kickEffective"
"153",270737,294674,98150101,1304,3,674,"Richmond","hitout"
"154",261362,991953,98150101,1360,3,837,"Richmond","kickIn"
"155",290671,270896,98150101,1369,3,861,"Richmond","handballEffective"
"156",290198,250312,98150101,1397,3,963,"Richmond","kickEffective"
"157",293713,250312,98150101,1438,3,1184,"Richmond","handballEffective"
"158",270737,294592,98150101,1463,3,1280,"Richmond","hitout"
"159",294592,992015,98150101,1466,3,1287,"Richmond","handballEffective"
"160",992015,290032,98150101,1469,3,1289,"Richmond","handballEffective"
"161",290032,290073,98150101,1472,3,1292,"Richmond","kickEffective"
"162",290073,290032,98150101,1474,3,1299,"Richmond","kickEffective"
"163",290032,290847,98150101,1476,3,1306,"Richmond","kickEffective"
"164",290847,291891,98150101,1478,3,1316,"Richmond","kickEffective"
"165",291891,270941,98150101,1480,3,1324,"Richmond","kickEffective"
"166",992015,270941,98150101,1496,3,1401,"Richmond","handballEffective"
"167",270941,270896,98150101,1498,3,1403,"Richmond","handballEffective"
"168",270896,290847,98150101,1500,3,1405,"Richmond","handballEffective"
"169",290847,991953,98150101,1502,3,1410,"Richmond","kickEffective"
"170",260433,250312,98150101,1529,3,1511,"Richmond","handballEffective"
"171",293713,294674,98150101,1536,3,1519,"Richmond","handballEffective"
"172",294674,250312,98150101,1538,3,1521,"Richmond","handballEffective"
"173",250312,270896,98150101,1539,3,1525,"Richmond","knockOnContested"
"174",270896,270737,98150101,1541,3,1527,"Richmond","kickIneffective"
"175",270737,270896,98150101,1590,3,1739,"Richmond","hitout"
"176",270896,294592,98150101,1593,3,1744,"Richmond","kickIneffective"
"177",294592,270941,98150101,1596,3,1751,"Richmond","handballEffective"
"178",270941,290847,98150101,1598,3,1753,"Richmond","handballEffective"
"179",290847,991953,98150101,1600,3,1755,"Richmond","handballEffective"
"180",290847,290032,98150101,1625,4,5,"Richmond","handballEffective"
"181",290032,290073,98150101,1628,4,6,"Richmond","kickEffective"
"182",261362,294592,98150101,1657,4,56,"Richmond","handballEffective"
"183",294592,293713,98150101,1659,4,59,"Richmond","kickEffective"
"184",293713,290198,98150101,1662,4,62,"Richmond","kickEffective"
"185",290198,290073,98150101,1664,4,69,"Richmond","kickEffective"
"186",294674,992015,98150101,1676,4,155,"Richmond","kickIn"
"187",992015,294674,98150101,1679,4,165,"Richmond","kickEffective"
"188",294674,250312,98150101,1681,4,172,"Richmond","kickEffective"
"189",250312,293713,98150101,1683,4,178,"Richmond","kickEffective"
"190",293713,294674,98150101,1685,4,188,"Richmond","kickEffective"
"191",294674,250312,98150101,1687,4,194,"Richmond","kickEffective"
"192",250312,293713,98150101,1689,4,198,"Richmond","handballEffective"
"193",293713,291891,98150101,1693,4,206,"Richmond","handballEffective"
"194",291891,290032,98150101,1695,4,209,"Richmond","kickEffective"
"195",260930,290073,98150101,1705,4,260,"Richmond","handballEffective"
"196",290073,291891,98150101,1708,4,261,"Richmond","handballEffective"
"197",294674,291891,98150101,1726,4,352,"Richmond","kickEffective"
"198",291891,290671,98150101,1729,4,357,"Richmond","handballEffective"
"199",290671,293713,98150101,1731,4,359,"Richmond","handballEffective"
"200",293713,290847,98150101,1733,4,360,"Richmond","handballEffective"
"201",290847,290032,98150101,1735,4,362,"Richmond","handballEffective"
"202",290032,250395,98150101,1737,4,365,"Richmond","handballEffective"
